,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,21,33,226,3,0,12,83,1
Matt Ryan,ATL,1,24,39,375,4,1,2,23,0
Andrew Luck,IND,1,24,53,294,2,2,5,37,1
Jay Cutler,CHI,1,32,46,341,2,1,2,9,1
Russell Wilson,SEA,1,22,37,263,2,0,10,48,1
Andy Dalton,CIN,1,21,29,302,2,0,4,22,1
Aaron Rodgers,GB,1,24,36,327,3,0,5,28,0
Ben Roethlisberger,PIT,1,25,39,350,3,0,1,-1,0
Joe Flacco,BAL,1,25,33,269,2,1,7,16,1
Kyle Orton,BUF,1,38,57,355,1,2,1,1,1
Matthew Stafford,DET,1,26,34,311,3,0,3,-2,0
Derek Carr,OAK,1,22,28,254,3,0,2,2,0
Tom Brady,NE,1,28,44,317,2,1,4,7,0
Teddy Bridgewater,MIN,1,19,27,309,2,1,3,7,0
Tony Romo,DAL,1,21,26,205,3,0,2,-2,0
Josh McCown,TB,1,20,39,250,2,2,4,8,0
Alex Smith,KC,1,26,39,293,1,1,4,26,0
Geno Smith,NYJ,1,18,29,254,1,1,6,33,0
Shaun Hill,STL,1,16,22,213,2,0,2,-1,0
Drew Stanton,ARI,1,15,30,239,1,0,4,17,0
Eli Manning,NYG,1,26,42,260,1,1,0,0,0
Drew Brees,NO,1,29,49,235,1,1,1,6,0
Ryan Tannehill,MIA,1,23,33,227,1,0,2,6,0
Colin Kaepernick,SF,1,18,33,174,1,2,3,26,0
Blake Bortles,JAC,1,20,39,205,1,1,3,10,0
Ryan Fitzpatrick,HOU,1,13,19,135,0,0,8,19,1
Philip Rivers,SD,1,20,33,189,1,1,3,8,0
Mark Sanchez,PHI,1,10,20,96,2,1,1,7,0
Colt McCoy,WAS,1,20,32,199,0,2,2,11,0
Peyton Manning,DEN,1,14,20,173,0,2,2,-2,0
Brian Hoyer,CLE,1,14,31,140,0,2,2,3,0
Jake Locker,TEN,1,9,11,81,0,1,2,28,0
Zach Mettenberger,TEN,1,14,24,125,0,1,1,-1,0
Robert Griffin III,WAS,1,3,4,33,0,0,0,0,0
Jason Campbell,CIN,1,4,6,25,0,0,1,1,0
Ryan Nassib,NYG,1,0,0,0,0,0,2,-3,0
