,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,30,39,413,4,0,4,2,0
Peyton Manning,DEN,1,28,34,327,4,0,0,0,0
Philip Rivers,SD,1,35,42,401,3,1,0,0,0
Alex Smith,KC,1,24,41,288,3,2,7,37,0
Matt Ryan,ATL,1,34,54,421,2,1,0,0,0
Matt Schaub,HOU,1,31,49,355,2,2,1,5,0
Joe Flacco,BAL,1,25,50,347,2,5,0,0,0
Jay Cutler,CHI,1,27,47,317,2,3,1,9,0
Tom Brady,NE,1,20,31,316,2,0,5,-2,0
Andrew Luck,IND,1,22,36,260,2,1,2,26,0
Ben Roethlisberger,PIT,1,36,51,383,1,1,0,0,0
Matthew Stafford,DET,1,23,35,242,1,1,5,8,1
Brian Hoyer,CLE,1,25,38,269,2,0,4,7,0
Tony Romo,DAL,1,27,37,244,2,0,1,15,0
Ryan Tannehill,MIA,1,22,35,249,1,3,4,48,0
Jake Locker,TEN,1,18,24,149,3,0,3,17,0
Matt Cassel,MIN,1,16,25,248,2,0,2,5,0
Geno Smith,NYJ,1,23,34,289,1,2,3,7,0
Colin Kaepernick,SF,1,15,23,167,2,0,3,11,0
Carson Palmer,ARI,1,21,38,248,1,2,4,6,0
Michael Vick,PHI,1,14,27,248,0,0,8,41,0
Robert Griffin III,WAS,1,18,31,227,1,0,3,10,0
Eli Manning,NYG,1,18,37,217,1,1,2,12,0
Matt Flynn,OAK,1,21,32,227,1,1,3,4,0
Russell Wilson,SEA,1,12,23,123,0,1,10,77,0
Sam Bradford,STL,1,19,41,202,1,1,3,-4,0
Mike Glennon,TB,1,24,43,193,1,2,2,-1,0
EJ Manuel,BUF,1,10,22,167,1,2,11,1,0
Andy Dalton,CIN,1,23,42,206,0,1,4,13,0
Blaine Gabbert,JAC,1,17,32,179,0,3,2,10,0
Ryan Fitzpatrick,TEN,1,3,8,108,1,0,2,-2,0
Nick Foles,PHI,1,3,4,49,1,0,0,0,0
Matt Hasselbeck,IND,1,2,3,37,0,0,0,0,0
Brock Osweiler,DEN,1,2,3,10,0,0,2,3,0
Chase Daniel,KC,1,0,0,0,0,0,2,-2,0
