,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Andrew Luck,IND,1,21,38,228,3,0,4,29,1
Robert Griffin III,WAS,1,18,29,298,2,1,11,84,0
Andy Dalton,CIN,1,24,34,372,3,0,1,6,0
Peyton Manning,DEN,1,29,49,386,3,1,1,-1,0
Matthew Stafford,DET,1,28,51,357,3,0,0,0,0
Jake Locker,TEN,1,25,41,326,2,1,3,29,0
Russell Wilson,SEA,1,18,29,235,3,0,8,29,0
Aaron Rodgers,GB,1,25,36,260,3,0,4,12,0
Geno Smith,NYJ,1,17,33,233,1,1,6,32,1
Matt Ryan,ATL,1,20,26,273,3,0,3,-12,0
Colin Kaepernick,SF,1,13,21,199,0,0,11,68,1
Ryan Tannehill,MIA,1,19,37,194,3,2,3,5,0
Mike Glennon,TB,1,26,44,256,2,0,1,13,0
Alex Smith,KC,1,23,34,240,0,1,6,28,1
Tony Romo,DAL,1,28,47,317,1,2,4,2,0
Philip Rivers,SD,1,22,26,285,1,0,2,4,0
Case Keenum,HOU,1,15,25,271,1,0,3,10,0
Josh McCown,CHI,1,14,20,204,1,0,4,33,0
Carson Palmer,ARI,1,30,45,258,1,2,2,5,0
Sam Bradford,STL,1,21,30,255,1,1,1,1,0
Cam Newton,CAR,1,15,17,204,1,0,10,26,0
Chad Henne,JAC,1,23,36,318,0,1,4,5,0
Joe Flacco,BAL,1,24,34,215,1,0,2,14,0
Eli Manning,NYG,1,23,39,200,1,0,3,5,0
Ben Roethlisberger,PIT,1,17,23,160,1,0,3,25,0
Brandon Weeden,CLE,1,17,42,149,1,1,2,20,0
Tom Brady,NE,1,22,46,228,0,1,0,0,0
Thaddeus Lewis,BUF,1,21,32,202,0,1,5,13,0
Josh Freeman,MIN,1,20,53,190,0,1,0,0,0
Nick Foles,PHI,1,11,29,80,0,0,3,25,0
Matt Barkley,PHI,1,11,20,129,0,3,0,0,0
Jay Cutler,CHI,1,3,8,28,0,1,0,0,0
Kellen Clemens,STL,1,2,4,19,0,0,0,0,0
Charlie Whitehurst,SD,1,0,0,0,0,0,3,-3,0
