,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,40,50,511,7,1,1,1,0
Eli Manning,NYG,1,30,41,350,6,0,0,0,0
Carson Palmer,ARI,1,23,38,374,4,1,3,6,0
Tom Brady,NE,1,26,38,356,4,0,1,1,0
Derek Carr,OAK,1,23,36,333,4,0,2,-2,0
Alex Smith,KC,1,18,26,145,2,0,5,78,1
Matt Ryan,ATL,1,37,45,397,2,1,3,2,0
Philip Rivers,SD,1,28,37,301,3,0,1,0,0
Joe Flacco,BAL,1,25,37,319,1,0,4,2,1
Geno Smith,NYJ,1,27,42,265,2,1,2,34,0
Cam Newton,CAR,1,16,35,248,2,1,10,41,0
Josh McCown,CLE,1,18,34,211,3,1,5,18,0
Andrew Luck,IND,1,23,47,231,2,3,6,35,0
Jay Cutler,CHI,1,22,33,211,1,0,2,11,1
Jameis Winston,TB,1,16,29,177,1,0,3,24,1
Brian Hoyer,HOU,1,23,35,235,2,0,1,-1,0
Russell Wilson,SEA,1,19,30,210,1,1,6,32,0
Ben Roethlisberger,PIT,1,28,45,262,1,3,0,0,0
Peyton Manning,DEN,1,21,29,340,0,1,0,0,0
Andy Dalton,CIN,1,23,38,231,1,2,6,4,0
Teddy Bridgewater,MIN,1,17,30,187,1,1,2,21,0
Matthew Stafford,DET,1,22,36,217,1,2,1,5,0
Ryan Tannehill,MIA,1,28,44,300,0,2,2,-1,0
Nick Foles,STL,1,14,23,191,1,0,3,-3,0
Colin Kaepernick,SF,1,20,41,162,0,0,6,28,0
Matt Cassel,DAL,1,13,25,97,0,0,4,43,0
Zach Mettenberger,TEN,1,22,31,171,0,1,0,0,0
Aaron Rodgers,GB,1,14,22,77,0,0,2,31,0
Ryan Fitzpatrick,NYJ,1,4,5,46,0,0,1,12,0
Johnny Manziel,CLE,1,3,6,12,0,0,1,1,0
Dan Orlovsky,DET,1,1,2,10,0,0,0,0,0
Chase Daniel,KC,1,2,2,4,0,0,0,0,0
