,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Branden Oliver,SD,1,19,114,1,4,4,68,1
Arian Foster,HOU,1,23,157,2,5,2,15,0
Andre Ellington,ARI,1,16,32,1,7,4,112,1
Eddie Lacy,GB,1,13,105,2,3,3,27,0
Pierre Thomas,NO,1,4,35,1,10,8,77,1
Matt Forte,CHI,1,17,61,0,12,12,105,1
DeMarco Murray,DAL,1,31,136,0,8,6,56,0
Marshawn Lynch,SEA,1,17,72,0,6,5,45,1
Stevan Ridley,NE,1,27,113,1,0,0,0,0
Justin Forsett,BAL,1,6,42,1,8,7,55,0
Khiry Robinson,NO,1,21,89,1,2,1,8,0
Antone Smith,ATL,1,1,2,0,3,3,83,1
Andre Williams,NYG,1,20,65,1,2,2,18,0
Steven Jackson,ATL,1,13,37,1,6,5,37,0
Benny Cunningham,STL,1,7,47,1,4,3,24,0
Ben Tate,CLE,1,22,123,0,2,1,-2,0
Le'Veon Bell,PIT,1,15,82,0,6,5,36,0
Frank Gore,SF,1,18,107,0,1,1,1,0
Fred Jackson,BUF,1,11,50,0,9,7,58,0
Shane Vereen,NE,1,9,90,0,3,3,18,0
Bobby Rainey,TB,1,6,21,1,4,3,21,0
LeSean McCoy,PHI,1,24,81,0,4,4,5,0
Ahmad Bradshaw,IND,1,15,68,0,5,4,17,0
Jamaal Charles,KC,1,15,80,0,4,1,4,0
Chris Ogbonnaya,CAR,1,8,24,1,0,0,0,0
Devonta Freeman,ATL,1,4,38,0,6,5,44,0
Travaris Cadet,NO,1,0,0,0,5,3,19,1
Zac Stacy,STL,1,11,42,0,5,4,36,0
De'Anthony Thomas,KC,1,1,17,1,0,0,0,0
Juwan Thompson,DEN,1,3,15,1,0,0,0,0
Doug Martin,TB,1,14,45,0,5,3,29,0
Matt Asiata,MIN,1,15,72,0,3,0,0,0
Giovani Bernard,CIN,1,13,62,0,3,2,10,0
Rashad Jennings,NYG,1,10,55,0,2,2,17,0
Jeremy Hill,CIN,1,2,1,0,4,3,68,0
Ronnie Hillman,DEN,1,15,64,0,1,0,0,0
Roy Helu,WAS,1,2,-1,0,7,5,59,0
Darrin Reaves,CAR,1,11,35,0,1,1,16,0
Darren Sproles,PHI,1,7,51,0,0,0,0,0
James Starks,GB,1,12,46,0,2,2,2,0
George Winn,DET,1,11,48,0,2,0,0,0
Trent Richardson,IND,1,9,37,0,5,4,10,0
LeGarrette Blount,PIT,1,8,29,0,3,3,17,0
Jerick McKinnon,MIN,1,7,24,0,5,3,22,0
Chris Ivory,NYJ,1,9,44,0,1,0,0,0
Reggie Bush,DET,1,6,13,0,5,2,30,0
Carlos Hyde,SF,1,10,43,0,1,0,0,0
Shonn Greene,TEN,1,11,36,0,2,0,0,0
C.J. Spiller,BUF,1,9,7,0,4,3,25,0
Terrance West,CLE,1,7,31,0,0,0,0,0
Donald Brown,SD,1,9,26,0,2,1,4,0
Bernard Pierce,BAL,1,4,30,0,0,0,0,0
Toby Gerhart,JAC,1,4,9,0,1,1,20,0
Storm Johnson,JAC,1,4,27,0,0,0,0,0
Alfred Morris,WAS,1,13,29,0,1,1,-2,0
Bishop Sankey,TEN,1,8,27,0,1,0,0,0
Jordan Todman,JAC,1,0,0,0,2,2,23,0
Chris Johnson,NYJ,1,7,24,0,1,1,-2,0
Isaiah Crowell,CLE,1,6,19,0,0,0,0,0
Shaun Draughn,SD,1,10,19,0,0,0,0,0
Robert Turbin,SEA,1,5,19,0,0,0,0,0
Montee Ball,DEN,1,6,7,0,3,2,11,0
Lorenzo Taliaferro,BAL,1,5,18,0,0,0,0,0
Alfred Blue,HOU,1,5,16,0,0,0,0,0
James Develin,NE,1,2,5,0,1,1,11,0
Jacquizz Rodgers,ATL,1,2,10,0,2,1,5,0
Ray Agnew,CLE,1,0,0,0,2,1,12,0
Will Johnson,PIT,1,1,0,0,1,1,12,0
Anthony Sherman,KC,1,0,0,0,2,1,12,0
Will Ta'ufo'ou,JAC,1,0,0,0,1,1,12,0
Joe Banyard,MIN,1,0,0,0,2,2,11,0
Dri Archer,PIT,1,1,2,0,2,2,8,0
Bruce Miller,SF,1,0,0,0,1,1,10,0
John Kuhn,GB,1,2,6,0,1,1,3,0
Dexter McCluster,TEN,1,3,10,0,2,1,-2,0
Peyton Hillis,NYG,1,2,7,0,0,0,0,0
Leon Washington,TEN,1,0,0,0,1,1,7,0
Knile Davis,KC,1,2,6,0,1,0,0,0
Bilal Powell,NYJ,1,2,6,0,0,0,0,0
Stepfan Taylor,ARI,1,1,6,0,0,0,0,0
Denard Robinson,JAC,1,3,6,0,2,2,-1,0
Joseph Randle,DAL,1,2,4,0,0,0,0,0
Brandon Bolden,NE,1,1,3,0,0,0,0,0
Ka'Deem Carey,CHI,1,2,2,0,0,0,0,0
Austin Johnson,NO,1,1,2,0,0,0,0,0
Frank Summers,BUF,1,0,0,0,2,1,1,0
Robert Hughes,ARI,1,1,0,0,0,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,2,0,0,0
