,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Coby Fleener,IND,1,7,5,56,2
Virgil Green,DEN,1,3,3,46,1
Charles Clay,MIA,1,6,5,45,1
Travis Kelce,KC,1,8,7,84,0
Jeff Cumberland,NYJ,1,3,2,23,1
Jack Doyle,IND,1,5,4,21,1
Jermaine Gresham,CIN,1,3,3,20,1
Jordan Reed,WAS,1,10,9,70,0
Antonio Gates,SD,1,6,4,67,0
Ed Dickson,CAR,1,1,1,5,1
Brent Celek,PHI,1,1,1,1,1
Martellus Bennett,CHI,1,11,8,59,0
Zach Ertz,PHI,1,6,4,56,0
Jimmy Graham,NO,1,9,6,54,0
Jason Witten,DAL,1,6,4,49,0
Owen Daniels,BAL,1,4,2,46,0
Zach Sudfeld,NYJ,1,2,2,44,0
Delanie Walker,TEN,1,10,7,43,0
Jordan Cameron,CLE,1,6,3,41,0
Heath Miller,PIT,1,7,3,41,0
Richard Rodgers,GB,1,5,5,40,0
Darren Fells,ARI,1,3,2,39,0
Eric Ebron,DET,1,7,2,38,0
Jared Cook,STL,1,7,3,37,0
Jace Amaro,NYJ,1,4,3,34,0
Luke Willson,SEA,1,4,2,32,0
Ryan Hewitt,CIN,1,6,3,31,0
Greg Olsen,CAR,1,3,2,27,0
Larry Donnell,NYG,1,6,2,26,0
Mychal Rivera,OAK,1,8,2,26,0
MarQueis Gray,BUF,1,3,3,25,0
Dante Rosario,CHI,1,3,2,25,0
Rhett Ellison,MIN,1,3,3,23,0
Crockett Gillmore,BAL,1,2,1,22,0
Tony Moeaki,SEA,1,1,1,21,0
Brandon Myers,TB,1,6,4,21,0
Scott Chandler,BUF,1,1,1,20,0
Robert Housler,ARI,1,2,1,20,0
Niles Paul,WAS,1,3,2,19,0
Lee Smith,BUF,1,1,1,18,0
Ben Watson,NO,1,2,2,18,0
Lance Kendricks,STL,1,2,1,17,0
Dion Sims,MIA,1,4,2,15,0
Tim Wright,NE,1,3,1,15,0
Levine Toilolo,ATL,1,3,2,14,0
Vernon Davis,SF,1,1,1,9,0
Ryan Griffin,HOU,1,1,1,8,0
John Carlson,ARI,1,1,1,6,0
James Hanna,DAL,1,2,1,2,0
Bear Pascoe,ATL,1,1,1,2,0
Gavin Escobar,DAL,1,1,0,0,0
Richard Gordon,KC,1,1,0,0,0
Clay Harbor,JAC,1,1,0,0,0
Cory Harkey,STL,1,2,0,0,0
Michael Hoomanawanui,NE,1,1,0,0,0
Marcedes Lewis,JAC,1,3,0,0,0
Steve Maneri,NE,1,1,0,0,0
Logan Paulsen,WAS,1,1,0,0,0
Andrew Quarless,GB,1,1,0,0,0
Adrien Robinson,NYG,1,1,0,0,0
Matt Spaeth,PIT,1,1,0,0,0
