,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Russell Wilson,SEA,1,21,30,345,5,0,4,14,0
Matthew Stafford,DET,1,27,38,337,5,0,2,13,0
Ryan Fitzpatrick,NYJ,1,22,37,277,4,0,5,21,0
Philip Rivers,SD,1,29,43,300,4,0,5,9,0
Tyrod Taylor,BUF,1,21,38,291,3,0,5,46,0
Ryan Tannehill,MIA,1,33,58,351,3,1,0,0,0
Derek Carr,OAK,1,24,37,330,3,0,4,5,0
Ben Roethlisberger,PIT,1,36,55,456,1,2,5,18,0
Blake Bortles,JAC,1,30,49,329,2,1,6,33,0
Tom Brady,NE,1,23,42,280,3,0,0,0,0
Kirk Cousins,WAS,1,20,29,302,1,0,4,1,1
Alex Smith,KC,1,19,30,255,2,0,6,35,0
Andy Dalton,CIN,1,20,27,233,3,1,2,4,0
Eli Manning,NYG,1,26,51,321,2,3,0,0,0
Marcus Mariota,TEN,1,17,37,218,3,2,1,7,0
Matt Hasselbeck,IND,1,26,42,315,2,0,3,-3,0
Blaine Gabbert,SF,1,25,36,318,1,1,1,11,0
Matt Schaub,BAL,1,20,34,232,2,2,3,10,0
Carson Palmer,ARI,1,24,40,271,0,0,3,6,1
Cam Newton,CAR,1,16,27,183,0,0,12,45,1
Jameis Winston,TB,1,20,36,245,1,1,3,27,0
Mark Sanchez,PHI,1,19,27,199,2,0,2,4,0
Brian Hoyer,HOU,1,21,27,205,2,1,3,-3,0
Brock Osweiler,DEN,1,23,42,270,1,1,2,4,0
Aaron Rodgers,GB,1,22,43,202,1,1,4,33,0
Josh McCown,CLE,1,21,38,212,1,0,2,12,0
Matt Ryan,ATL,1,22,31,230,1,2,1,-1,0
Jay Cutler,CHI,1,19,31,200,1,0,4,9,0
Nick Foles,STL,1,30,46,228,0,3,1,2,0
Drew Brees,NO,1,25,44,228,0,1,0,0,0
Matt Cassel,DAL,1,13,19,93,1,0,2,9,0
Austin Davis,CLE,1,7,10,77,1,0,1,7,0
Teddy Bridgewater,MIN,1,20,28,174,0,1,4,-3,0
Tony Romo,DAL,1,11,21,106,0,3,0,0,0
Landry Jones,PIT,1,1,4,34,0,2,0,0,0
Sean Mannion,STL,1,6,7,31,0,0,0,0,0
AJ McCarron,CIN,1,1,1,3,0,0,0,0,0
Matt McGloin,OAK,1,0,1,0,0,0,0,0,0
