,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Javorius Allen,BAL,1,17,63,0,13,12,107,1
T.J. Yeldon,JAC,1,15,57,1,4,4,79,0
Matt Forte,CHI,1,21,84,1,5,5,39,0
Thomas Rawls,SEA,1,19,101,1,3,3,22,0
David Johnson,ARI,1,22,99,0,3,2,21,1
James White,NE,1,2,4,0,13,10,115,1
Jonathan Stewart,CAR,1,21,82,1,3,3,31,0
Bilal Powell,NYJ,1,6,17,0,13,8,91,1
DeAngelo Williams,PIT,1,26,134,0,6,5,31,0
Doug Martin,TB,1,25,95,1,2,1,5,0
Jeremy Hill,CIN,1,22,98,1,1,0,0,0
Latavius Murray,OAK,1,20,86,1,6,4,11,0
Frank Gore,IND,1,13,45,0,5,3,49,1
Shaun Draughn,SF,1,13,36,1,6,5,50,0
Mark Ingram,NO,1,12,56,1,6,4,23,0
Chris Polk,HOU,1,12,61,0,1,1,11,1
Antonio Andrews,TEN,1,13,58,1,1,1,10,0
Darren McFadden,DAL,1,14,53,1,1,1,6,0
Kerwynn Williams,ARI,1,6,59,1,0,0,0,0
Lamar Miller,MIA,1,20,113,0,2,1,5,0
LeSean McCoy,BUF,1,21,112,0,1,0,0,0
Mike Tolbert,CAR,1,2,33,0,3,2,18,1
Devonta Freeman,ATL,1,14,47,0,11,10,56,0
Darren Sproles,PHI,1,15,66,0,6,4,34,0
Spencer Ware,KC,1,7,26,1,2,2,-1,0
Fred Jackson,SEA,1,1,5,0,2,2,13,1
Ka'Deem Carey,CHI,1,5,17,1,0,0,0,0
Charles Sims,TB,1,7,56,0,3,2,21,0
Chris Ivory,NYJ,1,10,47,0,5,5,22,0
Jeremy Langford,CHI,1,12,59,0,3,2,9,0
Ameer Abdullah,DET,1,13,67,0,1,0,0,0
Isaiah Crowell,CLE,1,11,62,0,1,1,2,0
Melvin Gordon,SD,1,12,55,0,1,1,8,0
James Starks,GB,1,9,15,0,7,5,45,0
Donald Brown,SD,1,7,26,0,1,1,31,0
Ronnie Hillman,DEN,1,19,56,0,1,0,0,0
C.J. Anderson,DEN,1,7,42,0,1,1,12,0
LeGarrette Blount,NE,1,13,54,0,0,0,0,0
Matt Jones,WAS,1,18,49,0,1,1,5,0
Kenjon Barner,PHI,1,9,39,0,2,2,7,0
Mike Gillislee,BUF,1,7,41,0,1,1,5,0
Charcandrick West,KC,1,9,35,0,3,2,9,0
Jonathan Grimes,HOU,1,5,28,0,2,2,15,0
Todd Gurley,STL,1,9,41,0,0,0,0,0
Juwan Thompson,DEN,1,8,27,0,1,1,14,0
David Cobb,TEN,1,13,40,0,0,0,0,0
Terrance West,BAL,1,8,31,0,1,1,5,0
Giovani Bernard,CIN,1,5,26,0,1,1,9,0
Danny Woodhead,SD,1,3,10,0,7,3,24,0
Orleans Darkwa,NYG,1,8,23,0,2,1,10,0
Rashad Jennings,NYG,1,5,14,0,2,1,19,0
Duke Johnson,CLE,1,5,2,0,4,4,30,0
Theo Riddick,DET,1,1,4,0,6,5,27,0
Joique Bell,DET,1,8,5,0,2,2,25,0
Brandon Bolden,NE,1,3,22,0,5,1,2,0
Dan Herron,IND,1,2,8,0,3,3,16,0
Jerick McKinnon,MIN,1,4,18,0,6,3,6,0
DeMarco Murray,PHI,1,8,24,0,0,0,0,0
Adrian Peterson,MIN,1,8,18,0,4,4,6,0
Chris Thompson,WAS,1,1,6,0,4,4,18,0
Robert Turbin,DAL,1,6,12,0,2,2,12,0
Tre Mason,STL,1,2,13,0,2,2,10,0
Marcel Reece,OAK,1,1,4,0,3,3,19,0
Denard Robinson,JAC,1,3,21,0,1,1,2,0
John Crockett,GB,1,5,22,0,0,0,0,0
Andre Williams,NYG,1,6,22,0,1,0,0,0
Stepfan Taylor,ARI,1,5,20,0,1,0,0,0
Shane Vereen,NYG,1,4,13,0,3,2,7,0
Patrick DiMarco,ATL,1,0,0,0,2,2,18,0
Tevin Coleman,ATL,1,3,13,0,1,1,4,0
Jamize Olawale,OAK,1,2,16,0,2,1,1,0
Roy Helu,OAK,1,0,0,0,2,1,15,0
Alfred Blue,HOU,1,4,14,0,0,0,0,0
Jay Ajayi,MIA,1,4,12,0,0,0,0,0
Travaris Cadet,SF,1,3,6,0,2,1,6,0
Alfred Morris,WAS,1,6,12,0,0,0,0,0
Fitzgerald Toussaint,PIT,1,4,12,0,0,0,0,0
Fozzy Whittaker,CAR,1,1,11,0,0,0,0,0
Bruce Miller,SF,1,1,4,0,1,1,4,0
DuJuan Harris,SEA,1,3,7,0,0,0,0,0
Akeem Hunt,HOU,1,1,7,0,1,1,0,0
Zurlon Tipton,IND,1,1,0,0,2,1,7,0
Rex Burkhead,CIN,1,1,2,0,2,1,4,0
Anthony Dixon,BUF,1,1,6,0,0,0,0,0
Damien Williams,MIA,1,1,1,0,1,1,5,0
Stevan Ridley,NYJ,1,3,4,0,0,0,0,0
Will Tukuafu,SEA,1,1,4,0,0,0,0,0
Tim Hightower,NO,1,1,2,0,0,0,0,0
Eddie Lacy,GB,1,5,4,0,1,1,-3,0
Benny Cunningham,STL,1,0,0,0,1,0,0,0
Roosevelt Nix,PIT,1,0,0,0,1,0,0,0
Bishop Sankey,TEN,1,0,0,0,1,0,0,0
Anthony Sherman,KC,1,0,0,0,1,0,0,0
C.J. Spiller,NO,1,0,0,0,2,1,0,0
Matt Asiata,MIN,1,2,-1,0,1,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,2,1,-2,0
