,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Andre Johnson,IND,1,7,6,77,2,0,0,0
Allen Robinson,JAC,1,9,7,72,2,0,0,0
Odell Beckham Jr.,NYG,1,11,7,121,1,1,3,0
Julian Edelman,NE,1,5,4,120,1,0,0,0
Allen Hurns,JAC,1,6,5,116,1,0,0,0
Jaelen Strong,HOU,1,2,2,53,2,0,0,0
DeAndre Hopkins,HOU,1,14,11,169,0,0,0,0
Anquan Boldin,SF,1,12,8,107,1,0,0,0
Brandin Cooks,NO,1,9,5,107,1,0,0,0
Marquess Wilson,CHI,1,8,6,85,1,0,0,0
Willie Snead,NO,1,11,6,141,0,0,0,0
Josh Huff,PHI,1,5,4,78,1,0,0,0
James Jones,GB,1,3,2,77,1,0,0,0
John Brown,ARI,1,4,4,73,1,0,0,0
Markus Wheaton,PIT,1,3,1,72,1,0,0,0
Ty Montgomery,GB,1,5,4,59,1,0,0,0
Larry Fitzgerald,ARI,1,7,5,58,1,0,0,0
Lance Moore,DET,1,8,6,55,1,0,0,0
Chris Hogan,BUF,1,3,3,52,1,0,0,0
Emmanuel Sanders,DEN,1,12,9,111,0,0,0,0
Jermaine Kearse,SEA,1,3,2,38,1,0,0,0
Tavon Austin,STL,1,5,2,6,1,3,22,0
T.Y. Hilton,IND,1,9,5,88,0,0,0,0
Jamison Crowder,WAS,1,8,8,87,0,1,0,0
Jeremy Maclin,KC,1,12,8,85,0,0,0,0
Travis Benjamin,CLE,1,12,6,83,0,0,0,0
Golden Tate,DET,1,18,8,74,0,1,8,0
Kamar Aiken,BAL,1,9,4,78,0,0,0,0
A.J. Green,CIN,1,8,6,78,0,0,0,0
Taylor Gabriel,CLE,1,5,4,75,0,0,0,0
Stedman Bailey,STL,1,5,3,73,0,0,0,0
Dwayne Harris,NYG,1,8,6,72,0,0,0,0
Doug Baldwin,SEA,1,3,3,70,0,0,0,0
Mohamed Sanu,CIN,1,5,5,69,0,0,0,0
Calvin Johnson,DET,1,7,5,67,0,0,0,0
Julio Jones,ATL,1,10,5,67,0,0,0,0
Bryan Walters,JAC,1,4,4,64,0,0,0,0
Marvin Jones,CIN,1,8,5,61,0,0,0,0
Keenan Allen,SD,1,10,6,57,0,0,0,0
Corey Fuller,DET,1,4,2,56,0,0,0,0
Demaryius Thomas,DEN,1,8,5,55,0,0,0,0
Michael Crabtree,OAK,1,9,4,54,0,0,0,0
Cameron Meredith,CHI,1,4,4,52,0,0,0,0
Pierre Garcon,WAS,1,8,3,51,0,0,0,0
Amari Cooper,OAK,1,4,4,47,0,1,2,0
Andrew Hawkins,CLE,1,9,7,49,0,0,0,0
Malcom Floyd,SD,1,4,3,48,0,0,0,0
Bennie Fowler,DEN,1,2,2,46,0,0,0,0
Antonio Brown,PIT,1,6,3,45,0,0,0,0
Jordan Matthews,PHI,1,7,5,44,0,0,0,0
Rueben Randle,NYG,1,6,5,42,0,0,0,0
