,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,29,46,284,2,1,17,107,1
Joe Flacco,BAL,1,21,29,306,5,0,0,0,0
Tom Brady,NE,1,27,37,361,4,0,4,3,0
Colin Kaepernick,SF,1,22,36,343,3,0,3,37,0
Andrew Luck,IND,1,25,44,370,3,1,7,18,0
Derek Carr,OAK,1,18,34,282,4,1,1,2,0
Philip Rivers,SD,1,22,34,313,3,0,5,13,0
Aaron Rodgers,GB,1,24,42,264,3,0,7,34,0
Andy Dalton,CIN,1,34,44,323,2,2,4,25,0
Kirk Cousins,WAS,1,24,38,354,2,3,0,0,0
Ryan Tannehill,MIA,1,20,31,244,2,2,3,49,0
Blake Bortles,JAC,1,32,46,336,1,1,5,38,0
Jay Cutler,CHI,1,26,38,381,1,0,5,11,0
Peyton Manning,DEN,1,22,33,237,3,0,1,0,0
Mike Glennon,TB,1,24,44,314,2,1,0,0,0
Kyle Orton,BUF,1,24,38,299,2,1,0,0,0
Nick Foles,PHI,1,21,34,248,2,2,2,5,0
Tony Romo,DAL,1,21,32,250,2,0,2,-1,0
Carson Palmer,ARI,1,28,44,250,2,0,1,-3,0
Geno Smith,NYJ,1,23,43,190,2,1,2,11,0
Matt Ryan,ATL,1,19,37,271,1,1,1,-1,0
Ben Roethlisberger,PIT,1,21,42,228,1,1,1,7,0
Austin Davis,STL,1,21,42,236,1,1,1,-1,0
Ryan Fitzpatrick,HOU,1,15,23,212,1,0,1,5,0
Brian Hoyer,CLE,1,8,17,217,1,0,1,0,0
Russell Wilson,SEA,1,14,28,126,0,1,2,12,1
Matthew Stafford,DET,1,19,33,185,1,0,1,1,0
Charlie Whitehurst,TEN,1,17,28,233,0,0,2,1,0
Teddy Bridgewater,MIN,1,23,37,188,0,3,3,11,0
Eli Manning,NYG,1,13,23,151,0,0,2,3,0
Ryan Nassib,NYG,1,4,5,60,0,0,0,0,0
Tyrod Taylor,BAL,1,0,0,0,0,0,4,-3,0
