,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,21,26,293,2,0,6,10,2
Kellen Moore,DAL,1,33,48,435,3,2,1,0,0
Ben Roethlisberger,PIT,1,24,36,349,3,2,2,-2,0
Matthew Stafford,DET,1,28,39,298,3,0,6,10,0
Ryan Tannehill,MIA,1,25,38,350,2,0,3,17,0
Matt Ryan,ATL,1,24,36,334,2,1,1,0,0
Sam Bradford,PHI,1,30,38,320,2,1,2,-2,0
Jameis Winston,TB,1,29,47,325,0,2,3,14,1
Russell Wilson,SEA,1,19,28,197,3,0,5,13,0
Eli Manning,NYG,1,24,43,302,2,0,0,0,0
Blaine Gabbert,SF,1,28,44,354,1,1,7,7,0
Alex Smith,KC,1,14,24,156,2,2,9,61,0
Jay Cutler,CHI,1,17,23,245,2,3,1,11,0
Kirk Cousins,WAS,1,12,15,176,3,0,0,0,0
Tyrod Taylor,BUF,1,18,28,182,0,0,10,51,1
Philip Rivers,SD,1,21,35,228,2,1,2,5,0
Aaron Rodgers,GB,1,28,44,291,1,1,3,12,0
Drew Brees,NO,1,32,42,323,1,0,3,-5,0
Ryan Mallett,BAL,1,30,56,292,1,2,1,4,0
Ryan Fitzpatrick,NYJ,1,16,37,181,2,3,2,12,0
Brian Hoyer,HOU,1,25,40,249,1,1,0,0,0
AJ McCarron,CIN,1,17,27,160,2,0,3,2,0
Brock Osweiler,DEN,1,14,22,232,1,2,0,0,0
Derek Carr,OAK,1,21,33,194,1,1,2,12,0
Austin Davis,CLE,1,24,46,240,0,2,3,22,0
Josh Freeman,IND,1,15,28,149,1,1,8,24,0
Blake Bortles,JAC,1,17,32,239,0,2,0,0,0
Case Keenum,STL,1,22,37,231,0,0,1,2,0
Carson Palmer,ARI,1,12,25,129,1,1,0,0,0
Colt McCoy,WAS,1,7,11,128,1,0,3,-3,0
Alex Tanney,TEN,1,10,14,99,1,0,0,0,0
Zach Mettenberger,TEN,1,5,13,38,0,1,2,4,1
Ryan Lindley,IND,1,6,10,58,1,0,0,0,0
Tom Brady,NE,1,12,21,134,0,0,1,-1,0
Teddy Bridgewater,MIN,1,10,19,99,0,1,2,2,0
Drew Stanton,ARI,1,8,18,84,0,2,0,0,0
Peyton Manning,DEN,1,5,9,69,0,0,2,-2,0
Tarvaris Jackson,SEA,1,3,4,28,0,0,2,-2,0
Jimmy Garoppolo,NE,1,1,4,6,0,0,0,0,0
Derek Anderson,CAR,1,0,0,0,0,0,2,-2,0
