,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Carolina Panthers,1,4,2,1,1,15,254.0,63.0,1,0
Buffalo Bills,1,2,1,2,1,21,173.0,120.0,0,0
San Francisco 49ers,1,3,1,1,1,17,298.0,70.0,0,0
New England Patriots,1,4,0,1,1,30,206.0,177.0,0,0
New York Jets,1,4,0,1,1,27,205.0,90.0,0,0
Atlanta Falcons,1,3,1,0,1,23,226.0,111.0,0,0
Seattle Seahawks,1,7,0,2,0,22,204.0,30.0,0,0
Minnesota Vikings,1,2,1,0,0,23,193.0,64.0,0,1
Washington Redskins,1,2,0,1,1,41,219.0,140.0,0,0
Chicago Bears,1,1,0,1,0,45,290.0,209.0,0,1
San Diego Chargers,1,6,0,1,0,6,275.0,78.0,0,0
Indianapolis Colts,1,4,2,1,0,33,365.0,64.0,0,0
Kansas City Chiefs,1,5,1,0,0,16,221.0,73.0,0,0
Dallas Cowboys,1,3,0,3,0,3,194.0,84.0,0,0
Arizona Cardinals,1,3,2,0,0,34,209.0,135.0,0,0
Miami Dolphins,1,4,0,1,0,23,178.0,90.0,0,0
Denver Broncos,1,2,1,0,0,39,213.0,121.0,1,0
Philadelphia Eagles,1,2,0,2,0,17,294.0,74.0,0,0
Green Bay Packers,1,3,0,1,0,13,133.0,83.0,0,0
Houston Texans,1,2,1,1,0,17,231.0,126.0,0,0
Baltimore Ravens,1,3,1,0,0,19,145.0,141.0,0,0
New York Giants,1,1,2,1,0,7,176.0,30.0,0,0
St. Louis Rams,1,2,0,0,0,30,180.0,102.0,0,0
Tennessee Titans,1,2,0,0,0,31,196.0,153.0,0,0
Pittsburgh Steelers,1,1,0,0,0,16,205.0,82.0,0,0
Jacksonville Jaguars,1,1,0,0,0,24,276.0,158.0,0,0
Tampa Bay Buccaneers,1,0,1,0,0,31,273.0,18.0,0,0
Cleveland Browns,1,1,0,0,0,31,253.0,104.0,0,0
Detroit Lions,1,1,0,0,0,27,364.0,57.0,0,0
Cincinnati Bengals,1,0,0,0,0,24,357.0,77.0,0,0
