,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Dallas Cowboys,1,3,3,3,2,31,428.0,50.0,0,0
Kansas City Chiefs,1,6,0,2,1,2,107.0,71.0,1,0
Washington Redskins,1,3,2,0,1,33,180.0,263.0,1,0
Buffalo Bills,1,2,2,1,1,23,273.0,158.0,0,0
Houston Texans,1,2,0,1,1,28,183.0,80.0,0,0
Miami Dolphins,1,6,0,3,0,10,244.0,47.0,0,0
Tampa Bay Buccaneers,1,5,1,1,0,18,214.0,90.0,1,0
Tennessee Titans,1,5,1,1,0,9,163.0,32.0,1,0
Arizona Cardinals,1,0,1,1,1,27,299.0,67.0,0,0
Detroit Lions,1,3,1,3,0,24,225.0,105.0,0,0
Philadelphia Eagles,1,3,1,2,0,27,308.0,74.0,0,0
St. Louis Rams,1,4,1,1,0,24,304.0,86.0,0,0
Denver Broncos,1,4,0,2,0,27,335.0,58.0,0,0
New York Jets,1,3,1,1,0,17,185.0,65.0,0,0
Baltimore Ravens,1,3,2,0,0,49,445.0,65.0,0,0
Cleveland Browns,1,4,0,1,0,23,255.0,20.0,0,0
New Orleans Saints,1,3,1,1,0,17,279.0,88.0,0,0
Oakland Raiders,1,4,0,0,0,21,147.0,127.0,0,0
Chicago Bears,1,1,1,2,0,21,277.0,63.0,0,0
San Francisco 49ers,1,2,1,1,0,28,322.0,63.0,0,0
Atlanta Falcons,1,2,0,1,0,23,341.0,78.0,0,0
Indianapolis Colts,1,1,0,2,0,17,201.0,171.0,0,0
San Diego Chargers,1,2,0,1,0,31,329.0,120.0,0,0
Carolina Panthers,1,2,1,0,0,12,300.0,70.0,0,0
Seattle Seahawks,1,1,2,0,0,7,119.0,124.0,0,0
Minnesota Vikings,1,1,1,1,0,34,352.0,117.0,0,0
New York Giants,1,2,0,1,0,36,244.0,87.0,0,0
Green Bay Packers,1,2,0,0,0,34,404.0,90.0,0,0
New England Patriots,1,0,2,0,0,21,150.0,136.0,0,0
Pittsburgh Steelers,1,1,0,0,0,16,117.0,112.0,0,0
Jacksonville Jaguars,1,1,0,0,0,28,171.0,120.0,0,0
Cincinnati Bengals,1,0,0,1,0,24,242.0,81.0,0,0
