,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Carolina Panthers,1,6,1,2,2,3,225.0,63.0,0,0
Jacksonville Jaguars,1,3,1,1,1,23,235.0,123.0,1,0
Seattle Seahawks,1,4,1,2,1,6,203.0,42.0,0,0
Dallas Cowboys,1,3,2,2,1,17,309.0,104.0,0,0
Pittsburgh Steelers,1,3,1,2,0,17,221.0,116.0,0,1
Denver Broncos,1,3,1,1,1,14,132.0,67.0,0,0
Kansas City Chiefs,1,7,1,2,0,7,249.0,112.0,0,0
Green Bay Packers,1,2,1,0,0,20,202.0,111.0,0,1
New York Jets,1,7,1,0,0,24,208.0,179.0,0,0
Oakland Raiders,1,1,1,0,1,47,309.0,142.0,0,0
Tampa Bay Buccaneers,1,2,0,3,0,23,268.0,70.0,1,0
Baltimore Ravens,1,4,1,1,0,10,150.0,109.0,0,0
Houston Texans,1,5,0,0,0,17,112.0,121.0,0,0
Indianapolis Colts,1,4,1,0,0,10,50.0,142.0,0,0
San Francisco 49ers,1,2,0,3,0,17,299.0,98.0,0,0
St. Louis Rams,1,3,1,1,0,20,222.0,132.0,0,0
New York Giants,1,4,0,1,0,34,262.0,164.0,0,0
Detroit Lions,1,1,2,0,0,30,225.0,152.0,1,0
Buffalo Bills,1,4,0,0,0,9,144.0,116.0,0,0
San Diego Chargers,1,4,0,0,0,19,140.0,111.0,0,0
Chicago Bears,1,3,0,1,0,13,190.0,121.0,0,0
New Orleans Saints,1,3,0,1,0,20,97.0,183.0,0,0
Cincinnati Bengals,1,0,1,2,0,27,317.0,29.0,0,0
New England Patriots,1,2,1,0,0,17,164.0,104.0,0,0
Miami Dolphins,1,1,1,0,0,37,390.0,104.0,0,0
Minnesota Vikings,1,2,0,0,0,9,165.0,99.0,0,0
Washington Redskins,1,1,0,1,0,44,283.0,174.0,0,0
Arizona Cardinals,1,1,0,0,0,20,189.0,206.0,0,0
Atlanta Falcons,1,1,0,0,0,34,112.0,194.0,0,0
Philadelphia Eagles,1,0,0,1,0,26,429.0,76.0,0,0
Cleveland Browns,1,1,0,0,0,20,290.0,129.0,0,0
Tennessee Titans,1,1,0,0,0,27,314.0,64.0,0,0
