,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Atlanta Falcons,1,1,3,1,2,21,382.0,54.0,0,0
Detroit Lions,1,6,3,0,1,13,287.0,110.0,0,0
Carolina Panthers,1,2,1,4,1,23,287.0,141.0,0,0
Denver Broncos,1,7,1,0,0,20,269.0,113.0,0,0
Green Bay Packers,1,6,0,1,0,3,160.0,77.0,0,0
Pittsburgh Steelers,1,5,1,1,0,23,186.0,191.0,0,0
St. Louis Rams,1,4,2,1,0,22,352.0,113.0,0,0
Washington Redskins,1,5,2,0,0,20,270.0,87.0,0,0
Oakland Raiders,1,3,2,1,0,22,281.0,98.0,0,0
Cincinnati Bengals,1,5,1,0,0,21,386.0,113.0,0,0
San Diego Chargers,1,4,1,0,0,27,356.0,100.0,0,0
Jacksonville Jaguars,1,3,2,0,0,16,282.0,60.0,0,0
New York Jets,1,3,0,2,0,14,198.0,59.0,0,0
Baltimore Ravens,1,4,0,0,0,20,124.0,167.0,0,0
Chicago Bears,1,2,1,1,0,20,196.0,70.0,0,0
Minnesota Vikings,1,2,0,2,0,23,213.0,144.0,0,0
New York Giants,1,2,1,1,0,10,274.0,55.0,0,0
San Francisco 49ers,1,3,0,0,0,17,224.0,162.0,0,0
Tampa Bay Buccaneers,1,2,1,0,0,37,124.0,133.0,0,0
New Orleans Saints,1,3,0,0,0,20,246.0,115.0,0,0
Dallas Cowboys,1,3,0,0,0,26,359.0,103.0,0,0
Philadelphia Eagles,1,1,1,0,0,23,290.0,127.0,0,0
Houston Texans,1,2,0,0,0,48,256.0,135.0,0,0
Buffalo Bills,1,1,0,1,0,24,212.0,92.0,0,0
Cleveland Browns,1,2,0,0,0,30,358.0,91.0,0,0
Arizona Cardinals,1,1,0,0,0,24,171.0,164.0,0,0
Indianapolis Colts,1,1,0,0,0,13,298.0,142.0,0,0
Seattle Seahawks,1,0,1,0,0,10,203.0,53.0,0,0
Miami Dolphins,1,0,0,1,0,27,218.0,207.0,0,0
Kansas City Chiefs,1,0,0,0,0,36,321.0,124.0,0,0
