,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Minnesota Vikings,1,1,2,2,1,31,282.0,129.0,0,1
Tampa Bay Buccaneers,1,4,0,2,1,16,296.0,75.0,0,0
Tennessee Titans,1,2,0,2,1,30,280.0,172.0,1,0
Denver Broncos,1,1,0,4,0,23,353.0,23.0,0,1
Chicago Bears,1,1,2,1,1,30,227.0,123.0,0,0
Seattle Seahawks,1,3,2,3,0,3,107.0,100.0,0,0
New England Patriots,1,4,1,3,0,10,189.0,129.0,0,0
Detroit Lions,1,1,0,1,1,25,261.0,87.0,0,0
Atlanta Falcons,1,0,0,1,1,24,352.0,69.0,0,0
Buffalo Bills,1,6,0,1,0,23,183.0,125.0,0,0
San Francisco 49ers,1,4,0,1,0,29,118.0,172.0,1,0
Indianapolis Colts,1,5,1,0,0,24,297.0,101.0,0,0
Oakland Raiders,1,5,0,0,0,9,214.0,34.0,0,0
Baltimore Ravens,1,5,0,0,0,6,194.0,65.0,0,0
Kansas City Chiefs,1,3,2,0,0,16,281.0,37.0,0,0
Washington Redskins,1,4,1,0,0,38,441.0,139.0,0,0
Houston Texans,1,4,0,0,0,24,129.0,119.0,0,0
Jacksonville Jaguars,1,3,1,0,0,19,114.0,226.0,0,0
Miami Dolphins,1,3,0,1,0,20,315.0,133.0,0,0
Cincinnati Bengals,1,2,1,1,0,10,234.0,44.0,0,0
Dallas Cowboys,1,4,0,0,0,17,199.0,114.0,0,0
Philadelphia Eagles,1,1,2,0,0,33,413.0,126.0,0,0
Carolina Panthers,1,1,1,1,0,24,287.0,149.0,0,0
Cleveland Browns,1,2,1,0,0,14,197.0,99.0,0,0
New Orleans Saints,1,1,1,1,0,14,113.0,160.0,0,0
Arizona Cardinals,1,1,1,0,0,21,273.0,49.0,0,0
Green Bay Packers,1,1,0,1,0,20,314.0,108.0,0,0
San Diego Chargers,1,1,1,0,0,30,422.0,89.0,0,0
St. Louis Rams,1,2,0,0,0,31,357.0,36.0,0,0
New York Jets,1,1,0,0,0,13,178.0,54.0,0,0
New York Giants,1,0,1,0,0,41,307.0,109.0,0,0
Pittsburgh Steelers,1,0,0,0,0,20,280.0,127.0,0,0
