,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Green Bay Packers,1,6,1,2,1,10,188.0,111.0,0,0
Carolina Panthers,1,4,2,2,0,24,262.0,85.0,0,1
Philadelphia Eagles,1,4,3,0,1,28,341.0,125.0,0,0
New England Patriots,1,1,3,0,1,17,241.0,79.0,0,0
Pittsburgh Steelers,1,1,0,2,1,9,187.0,56.0,0,0
Tampa Bay Buccaneers,1,0,0,3,1,37,371.0,140.0,0,0
Detroit Lions,1,2,0,1,1,17,294.0,49.0,0,0
Buffalo Bills,1,6,1,1,0,14,194.0,69.0,0,0
Indianapolis Colts,1,4,2,1,0,13,197.0,90.0,0,0
Baltimore Ravens,1,1,2,2,0,20,305.0,117.0,0,0
Jacksonville Jaguars,1,4,1,0,0,17,261.0,111.0,0,0
Chicago Bears,1,2,2,1,0,31,231.0,90.0,0,0
Houston Texans,1,1,2,1,0,20,316.0,140.0,0,0
San Diego Chargers,1,2,1,1,0,0,60.0,91.0,0,0
Tennessee Titans,1,1,0,1,0,29,285.0,175.0,1,0
New York Jets,1,3,0,1,0,31,277.0,162.0,0,0
Arizona Cardinals,1,1,0,2,0,41,476.0,92.0,0,0
Atlanta Falcons,1,1,2,0,0,30,193.0,124.0,0,0
Kansas City Chiefs,1,3,0,0,0,22,186.0,171.0,0,0
St. Louis Rams,1,0,2,1,0,34,207.0,145.0,0,0
Minnesota Vikings,1,2,0,1,0,42,164.0,156.0,0,0
Cleveland Browns,1,3,0,0,0,28,261.0,149.0,0,0
Washington Redskins,1,3,0,0,0,27,178.0,225.0,0,0
Denver Broncos,1,3,0,0,0,20,178.0,37.0,0,0
New Orleans Saints,1,1,0,1,0,31,248.0,66.0,0,0
New York Giants,1,1,0,1,0,20,307.0,90.0,0,0
Seattle Seahawks,1,1,0,0,0,17,275.0,32.0,0,0
San Francisco 49ers,1,0,0,1,0,17,158.0,107.0,0,0
Cincinnati Bengals,1,1,0,0,0,43,285.0,220.0,0,0
Dallas Cowboys,1,0,0,1,0,17,154.0,176.0,0,0
