,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Miami Dolphins,1,6,2,2,1,10,282.0,63.0,0,0
Denver Broncos,1,4,1,2,1,23,213.0,109.0,0,0
Philadelphia Eagles,1,3,1,2,1,7,189.0,81.0,0,0
Houston Texans,1,3,0,3,1,20,331.0,83.0,0,0
Indianapolis Colts,1,2,0,1,1,34,312.0,116.0,0,0
Cleveland Browns,1,0,0,3,1,26,290.0,152.0,0,0
New Orleans Saints,1,5,3,0,0,21,295.0,150.0,0,0
Seattle Seahawks,1,3,0,2,0,27,269.0,135.0,0,0
Chicago Bears,1,2,2,1,0,37,405.0,155.0,0,0
New York Giants,1,1,1,3,0,27,280.0,155.0,0,0
Pittsburgh Steelers,1,1,1,2,0,13,421.0,55.0,0,0
Kansas City Chiefs,1,2,0,2,0,16,249.0,84.0,0,0
Carolina Panthers,1,4,0,0,0,23,239.0,115.0,0,0
Tennessee Titans,1,2,0,2,0,38,266.0,180.0,0,0
Green Bay Packers,1,3,1,0,0,20,503.0,60.0,0,0
San Diego Chargers,1,3,0,0,0,27,255.0,133.0,0,0
Baltimore Ravens,1,3,0,0,0,25,340.0,65.0,0,0
Minnesota Vikings,1,2,1,0,0,10,282.0,57.0,0,0
Washington Redskins,1,0,2,1,0,34,253.0,221.0,0,0
Cincinnati Bengals,1,2,0,1,0,21,263.0,112.0,0,0
New England Patriots,1,3,0,0,0,27,312.0,120.0,0,0
New York Jets,1,1,0,2,0,20,196.0,34.0,0,0
San Francisco 49ers,1,0,0,2,0,20,343.0,77.0,0,0
Detroit Lions,1,1,0,1,0,34,353.0,91.0,0,0
Arizona Cardinals,1,1,0,0,0,25,174.0,141.0,0,0
Atlanta Falcons,1,1,0,0,0,31,312.0,81.0,0,0
Jacksonville Jaguars,1,1,0,0,0,31,293.0,95.0,0,0
Buffalo Bills,1,0,0,0,0,34,243.0,112.0,0,0
