,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Minnesota Vikings,1,6,3,1,0,17,255.0,118.0,0,0
St. Louis Rams,1,3,0,0,0,26,292.0,171.0,0,1
Buffalo Bills,1,5,0,2,0,16,118.0,158.0,0,0
Denver Broncos,1,6,0,1,0,17,248.0,62.0,0,0
Atlanta Falcons,1,1,1,2,0,29,248.0,123.0,1,0
Baltimore Ravens,1,5,1,0,0,7,186.0,68.0,0,0
Jacksonville Jaguars,1,3,2,1,0,6,197.0,69.0,0,0
Miami Dolphins,1,3,2,1,0,14,172.0,52.0,0,0
Tennessee Titans,1,3,1,1,0,19,251.0,100.0,0,0
Cleveland Browns,1,2,0,3,0,24,151.0,185.0,0,0
New Orleans Saints,1,3,0,2,0,24,285.0,59.0,0,0
Green Bay Packers,1,3,0,1,0,17,223.0,108.0,0,0
Houston Texans,1,3,1,0,0,30,252.0,76.0,0,0
Pittsburgh Steelers,1,1,2,1,0,23,261.0,132.0,0,0
Indianapolis Colts,1,4,0,0,0,0,103.0,32.0,0,0
Chicago Bears,1,4,0,0,0,27,256.0,137.0,0,0
Cincinnati Bengals,1,2,2,0,0,27,335.0,171.0,0,0
San Diego Chargers,1,3,0,0,0,23,211.0,154.0,0,0
Kansas City Chiefs,1,2,0,1,0,20,182.0,69.0,0,0
New England Patriots,1,3,0,0,0,25,205.0,218.0,0,0
Washington Redskins,1,1,1,1,0,17,160.0,76.0,0,0
New York Giants,1,2,0,1,0,31,267.0,156.0,0,0
Detroit Lions,1,1,1,1,0,23,335.0,73.0,0,0
Oakland Raiders,1,1,0,1,0,24,242.0,123.0,0,0
Carolina Panthers,1,2,0,0,0,38,241.0,122.0,0,0
San Francisco 49ers,1,2,0,0,0,42,304.0,115.0,0,0
Dallas Cowboys,1,0,2,0,0,21,248.0,104.0,0,0
New York Jets,1,1,0,0,0,27,260.0,63.0,0,0
Arizona Cardinals,1,1,0,0,0,13,164.0,56.0,0,0
Seattle Seahawks,1,0,0,0,0,28,170.0,102.0,0,0
