,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Arizona Cardinals,1,2,1,3,1,20,335.0,72.0,0,0
San Francisco 49ers,1,5,0,1,1,17,216.0,93.0,0,0
Denver Broncos,1,4,1,1,1,17,173.0,31.0,0,0
Houston Texans,1,3,1,1,1,33,363.0,93.0,0,0
Detroit Lions,1,8,0,3,0,3,143.0,69.0,0,0
Philadelphia Eagles,1,8,1,0,0,0,168.0,85.0,0,0
New England Patriots,1,5,2,1,0,22,268.0,68.0,0,0
Tennessee Titans,1,6,1,1,0,14,297.0,82.0,0,0
Indianapolis Colts,1,5,2,0,0,28,196.0,136.0,0,0
Baltimore Ravens,1,5,0,1,0,17,277.0,87.0,0,0
Chicago Bears,1,4,0,1,0,13,245.0,42.0,0,0
Green Bay Packers,1,1,1,2,0,24,237.0,112.0,0,0
Minnesota Vikings,1,4,0,0,0,17,155.0,100.0,0,0
Atlanta Falcons,1,3,0,0,0,27,368.0,110.0,0,0
Seattle Seahawks,1,1,2,0,0,30,239.0,162.0,0,0
Jacksonville Jaguars,1,3,0,0,0,16,220.0,70.0,0,0
Carolina Panthers,1,1,0,2,0,37,320.0,193.0,0,0
Miami Dolphins,1,3,0,0,0,27,248.0,121.0,0,0
Cleveland Browns,1,2,0,1,0,10,221.0,138.0,0,0
New York Giants,1,1,0,2,0,27,245.0,203.0,0,0
Dallas Cowboys,1,2,0,1,0,23,126.0,80.0,0,0
Pittsburgh Steelers,1,1,1,0,0,31,210.0,158.0,0,0
Buffalo Bills,1,2,0,0,0,37,346.0,50.0,0,0
New York Jets,1,2,0,0,0,31,221.0,138.0,0,0
San Diego Chargers,1,0,0,1,0,28,282.0,114.0,0,0
St. Louis Rams,1,0,1,0,0,31,343.0,89.0,0,0
Tampa Bay Buccaneers,1,0,1,0,0,48,306.0,169.0,0,0
Cincinnati Bengals,1,0,0,1,0,37,284.0,147.0,0,0
Washington Redskins,1,1,0,0,0,30,243.0,74.0,0,0
Oakland Raiders,1,1,0,0,0,31,307.0,116.0,0,0
