,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Arizona Cardinals,1,2,2,2,0,14,260.0,81.0,0,1
Buffalo Bills,1,4,1,1,0,10,210.0,80.0,0,1
Washington Redskins,1,10,0,1,0,10,123.0,25.0,0,0
Cleveland Browns,1,2,1,1,1,24,223.0,174.0,0,0
New England Patriots,1,6,0,4,0,7,163.0,54.0,0,0
Chicago Bears,1,4,1,3,0,20,232.0,129.0,0,0
Carolina Panthers,1,4,2,1,0,7,253.0,70.0,0,0
New York Jets,1,4,1,0,0,31,310.0,80.0,0,0
Baltimore Ravens,1,2,2,1,0,6,202.0,99.0,0,0
Cincinnati Bengals,1,2,0,3,0,10,212.0,97.0,0,0
Tennessee Titans,1,4,1,0,0,26,148.0,220.0,0,0
Detroit Lions,1,5,0,0,0,24,251.0,62.0,0,0
Houston Texans,1,0,2,2,0,14,263.0,101.0,0,0
Dallas Cowboys,1,2,0,2,0,10,232.0,82.0,0,0
New York Giants,1,4,0,0,0,25,142.0,124.0,0,0
Green Bay Packers,1,2,0,1,0,24,166.0,146.0,0,0
Jacksonville Jaguars,1,3,0,0,0,41,258.0,191.0,0,0
San Diego Chargers,1,2,1,0,0,21,180.0,108.0,0,0
Tampa Bay Buccaneers,1,2,1,0,0,19,220.0,119.0,0,0
Philadelphia Eagles,1,0,1,1,0,27,172.0,169.0,0,0
St. Louis Rams,1,1,0,1,0,17,175.0,157.0,0,0
Denver Broncos,1,2,0,0,0,17,247.0,133.0,0,0
Indianapolis Colts,1,0,0,1,0,30,331.0,127.0,0,0
Kansas City Chiefs,1,1,0,0,0,24,237.0,88.0,0,0
Seattle Seahawks,1,1,0,0,0,30,276.0,101.0,0,0
San Francisco 49ers,1,1,0,0,0,28,170.0,46.0,0,0
Minnesota Vikings,1,1,0,0,0,30,142.0,150.0,0,0
New Orleans Saints,1,1,0,0,0,26,202.0,122.0,0,0
Oakland Raiders,1,0,0,0,0,30,139.0,188.0,0,0
Atlanta Falcons,1,0,0,0,0,24,302.0,170.0,0,0
Pittsburgh Steelers,1,0,0,0,0,26,166.0,157.0,0,0
Miami Dolphins,1,0,0,0,0,29,202.0,113.0,0,0
