,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Arizona Cardinals,1,2,0,4,2,7,67.0,103.0,1,0
Minnesota Vikings,1,4,1,1,1,14,309.0,90.0,0,0
Philadelphia Eagles,1,1,1,3,0,17,283.0,47.0,0,1
Indianapolis Colts,1,3,0,2,1,33,367.0,88.0,0,0
Buffalo Bills,1,2,0,3,1,14,297.0,102.0,0,0
Baltimore Ravens,1,2,1,1,1,28,383.0,86.0,0,0
Green Bay Packers,1,7,0,1,0,28,290.0,75.0,0,0
Seattle Seahawks,1,2,0,0,0,0,63.0,98.0,0,1
Oakland Raiders,1,5,1,1,0,20,341.0,39.0,0,0
New Orleans Saints,1,1,0,0,0,27,315.0,119.0,0,1
Denver Broncos,1,4,1,2,0,12,282.0,28.0,0,0
St. Louis Rams,1,5,0,1,0,12,230.0,62.0,0,0
New York Giants,1,1,1,2,0,21,316.0,88.0,1,0
Washington Redskins,1,0,0,0,0,32,279.0,84.0,0,1
Tennessee Titans,1,3,0,2,0,35,260.0,133.0,0,0
Chicago Bears,1,4,0,0,0,26,235.0,159.0,0,0
Atlanta Falcons,1,2,0,1,0,28,232.0,127.0,0,0
Pittsburgh Steelers,1,2,0,1,0,6,197.0,71.0,0,0
Carolina Panthers,1,1,1,1,0,22,310.0,70.0,0,0
New England Patriots,1,2,0,1,0,17,242.0,57.0,0,0
Detroit Lions,1,1,1,1,0,24,324.0,41.0,0,0
New York Jets,1,1,1,0,0,24,118.0,123.0,0,0
Jacksonville Jaguars,1,2,0,0,0,51,358.0,125.0,0,0
San Francisco 49ers,1,1,0,1,0,47,311.0,139.0,0,0
Tampa Bay Buccaneers,1,1,0,1,0,19,228.0,186.0,0,0
Houston Texans,1,0,0,1,0,9,261.0,57.0,0,0
San Diego Chargers,1,0,0,1,0,31,121.0,163.0,0,0
Kansas City Chiefs,1,1,0,0,0,38,333.0,123.0,0,0
Cincinnati Bengals,1,0,0,1,0,24,362.0,36.0,0,0
Cleveland Browns,1,0,1,0,0,27,314.0,155.0,0,0
Dallas Cowboys,1,1,0,0,0,39,285.0,158.0,0,0
Miami Dolphins,1,0,0,0,0,41,277.0,151.0,0,0
