,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Tampa Bay Buccaneers,1,3,1,3,1,17,261.0,136.0,0,0
Indianapolis Colts,1,1,1,3,1,21,280.0,100.0,0,0
Kansas City Chiefs,1,3,1,1,1,3,178.0,52.0,0,0
Carolina Panthers,1,5,4,1,0,16,207.0,14.0,0,0
Washington Redskins,1,2,0,0,0,44,246.0,142.0,1,1
Dallas Cowboys,1,3,0,1,1,14,188.0,70.0,0,0
Green Bay Packers,1,6,1,0,0,13,296.0,94.0,0,0
Tennessee Titans,1,4,1,1,0,19,242.0,90.0,0,0
Arizona Cardinals,1,4,1,0,0,31,315.0,99.0,0,0
Houston Texans,1,3,0,2,0,17,216.0,70.0,0,0
Atlanta Falcons,1,2,1,2,0,24,213.0,74.0,0,0
Baltimore Ravens,1,1,4,0,0,13,136.0,82.0,0,0
Jacksonville Jaguars,1,4,1,0,0,13,231.0,104.0,0,0
Chicago Bears,1,5,0,0,0,17,250.0,170.0,0,0
Miami Dolphins,1,2,0,2,0,24,227.0,166.0,0,0
Cincinnati Bengals,1,2,0,2,0,34,317.0,82.0,0,0
Denver Broncos,1,2,1,1,0,15,265.0,86.0,0,0
Oakland Raiders,1,4,0,0,0,18,282.0,109.0,0,0
San Diego Chargers,1,3,0,0,0,33,253.0,153.0,0,0
St. Louis Rams,1,1,0,2,0,16,299.0,96.0,0,0
New England Patriots,1,2,1,0,0,13,233.0,94.0,0,0
Detroit Lions,1,1,0,0,0,13,169.0,50.0,1,0
Seattle Seahawks,1,2,0,0,0,13,264.0,59.0,0,0
San Francisco 49ers,1,2,0,0,0,29,260.0,255.0,0,0
Buffalo Bills,1,1,0,1,0,20,277.0,85.0,0,0
Minnesota Vikings,1,2,0,0,0,30,212.0,124.0,0,0
New York Jets,1,1,1,0,0,24,250.0,123.0,0,0
Philadelphia Eagles,1,1,1,0,0,45,246.0,283.0,0,0
