,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
New England Patriots,1,4,1,3,2,7,237.0,121.0,0,0
Cincinnati Bengals,1,4,1,3,1,14,94.0,115.0,0,0
Philadelphia Eagles,1,5,1,1,1,11,196.0,61.0,0,0
New York Giants,1,2,1,2,1,20,207.0,148.0,1,0
Pittsburgh Steelers,1,3,1,1,1,31,219.0,151.0,0,0
Buffalo Bills,1,7,0,2,0,0,89.0,14.0,0,0
San Francisco 49ers,1,1,0,2,1,24,341.0,61.0,0,0
St. Louis Rams,1,7,2,0,0,13,111.0,59.0,0,0
Indianapolis Colts,1,4,2,2,0,7,132.0,155.0,0,0
Carolina Panthers,1,6,0,2,0,13,239.0,126.0,0,0
Arizona Cardinals,1,4,1,1,0,10,89.0,103.0,0,0
Seattle Seahawks,1,2,0,4,0,17,168.0,139.0,0,0
New York Jets,1,3,0,2,0,13,168.0,115.0,0,0
Chicago Bears,1,2,1,0,0,54,225.0,289.0,1,0
New Orleans Saints,1,4,0,1,0,17,141.0,81.0,0,0
Denver Broncos,1,3,0,2,0,13,153.0,87.0,0,0
Oakland Raiders,1,1,2,1,0,26,196.0,148.0,0,0
Jacksonville Jaguars,1,3,0,1,0,20,164.0,182.0,0,0
Washington Redskins,1,2,1,1,0,24,214.0,95.0,0,0
Detroit Lions,1,2,1,1,0,23,238.0,41.0,0,0
Green Bay Packers,1,1,1,1,0,38,192.0,151.0,0,0
Atlanta Falcons,1,3,0,0,0,34,180.0,199.0,0,0
San Diego Chargers,1,1,1,1,0,13,206.0,59.0,0,0
Minnesota Vikings,1,2,1,0,0,42,348.0,81.0,0,0
Tampa Bay Buccaneers,1,1,2,0,0,23,148.0,129.0,0,0
Tennessee Titans,1,2,0,1,0,16,226.0,63.0,0,0
Baltimore Ravens,1,2,0,0,0,41,158.0,142.0,0,0
Miami Dolphins,1,1,0,1,0,19,187.0,203.0,0,0
Houston Texans,1,1,0,0,0,37,397.0,114.0,0,0
Kansas City Chiefs,1,1,0,0,0,23,232.0,135.0,0,0
Dallas Cowboys,1,0,0,1,0,23,197.0,100.0,0,0
Cleveland Browns,1,0,0,0,0,24,214.0,208.0,0,0
